Vertex_Edges 1000x5000

Sol 1: 1,793,430,375,827,1000
Sol 2: 50,570,109,373,869,800


158 709 5
126 248 62
835 954 15
924 907 43
403 159 8
668 356 99
238 538 13
747 597 51
712 339 37
783 55 5
374 992 55
356 738 49
448 604 83
517 479 99
357 139 87
34 677 35
533 29 47
83 997 66
601 276 97
809 633 60
505 15 92
393 720 96
921 526 82
965 362 89
201 378 4
869 209 85
662 491 18
52 767 58
600 889 64
504 713 81
330 812 42
683 643 97
552 552 79
371 437 58
713 182 45
844 394 95
142 642 88
989 7 64
41 639 10
672 393 40
517 371 59
183 667 64
530 689 64
553 162 93
147 257 99
532 428 24
783 518 99
197 461 76
792 356 88
382 294 17
766 298 3
240 113 59
262 218 69
508 892 49
712 695 69
677 339 78
998 288 31
443 993 68
598 446 32
636 349 35
312 563 48
594 391 62
764 770 24
357 767 64
753 233 35
763 480 83
445 378 57
171 577 34
988 601 80
283 995 5
56 906 56
615 588 70
818 355 57
501 219 71
433 860 99
508 135 14
881 390 27
967 55 50
932 211 67
698 263 82
208 294 90
721 824 96
49 485 72
663 841 89
15 459 44
194 935 63
188 618 75
656 74 92
645 566 47
977 566 73
401 368 37
351 979 16
243 726 76
830 658 34
981 681 30
58 730 40
635 131 10
458 125 85
271 992 81
252 414 9
315 924 9
248 696 22
89 522 69
748 5 31
414 473 16
56 26 11
507 860 85
461 594 27
425 76 4
694 715 46
662 208 58
634 567 7
749 99 74
676 178 79
425 71 76
506 192 51
887 39 80
976 269 20
772 24 30
672 143 43
346 333 51
580 508 82
261 694 8
305 78 45
365 235 94
51 53 90
989 816 43
825 656 90
654 465 44
35 274 20
374 825 48
742 902 47
69 442 77
451 451 76
818 243 31
453 685 95
548 229 92
741 626 78
95 869 51
801 522 33
106 999 45
777 16 30
863 489 85
812 57 87
768 482 58
497 573 58
245 862 31
982 217 5
116 549 90
800 941 50
495 404 48
977 359 37
427 402 97
924 99 99
375 509 59
305 316 53
612 908 2
947 55 38
742 134 34
511 493 16
769 112 15
235 280 23
334 804 46
940 837 36
140 170 11
400 671 99
115 32 10
393 413 59
478 924 34
754 513 58
409 488 54
910 302 95
799 309 96
62 776 22
850 525 52
898 183 60
620 139 11
835 296 96
12 325 11
813 441 7
876 25 57
487 186 32
686 666 11
287 980 62
39 307 33
454 684 24
556 639 78
313 380 8
10 428 49
795 396 75
747 477 15
76 695 52
15 659 64
586 511 78
580 719 44
465 469 16
688 931 100
668 706 92
907 783 65
527 122 47
575 274 80
992 772 10
60 598 45
834 534 78
391 597 72
21 811 28
626 447 90
28 784 4
147 154 66
811 503 99
292 620 20
513 909 46
636 725 78
316 104 14
781 824 57
953 882 14
355 547 44
613 741 31
15 465 55
446 11 31
547 398 89
664 287 30
448 967 73
190 176 92
917 254 22
992 933 90
9 345 4
684 686 11
282 158 24
613 685 70
290 370 85
772 180 38
96 535 14
632 720 46
701 873 9
138 899 44
930 992 45
346 819 7
131 993 69
435 42 34
512 581 26
950 572 38
482 185 84
600 209 57
225 242 29
461 993 51
920 851 86
756 393 64
965 888 83
789 630 88
915 910 73
978 330 18
636 64 60
289 936 3
361 670 43
275 316 58
529 947 17
774 674 95
316 449 48
510 134 54
619 936 70
112 558 17
110 284 72
848 857 51
707 505 77
814 513 57
622 686 16
475 364 61
554 621 5
565 965 26
604 241 18
24 802 42
227 429 44
853 983 60
216 869 87
142 574 72
412 94 37
41 458 77
921 289 37
115 18 76
588 931 92
847 73 81
860 355 13
221 818 7
417 972 51
877 300 24
655 662 11
799 821 42
922 39 8
977 68 22
937 608 65
277 2 66
179 749 27
599 268 50
563 855 6
762 829 51
935 56 87
211 118 62
207 342 20
446 198 54
816 705 47
755 179 43
926 985 19
22 977 93
35 669 60
229 334 18
163 718 94
746 706 60
792 448 45
584 747 34
249 465 64
340 564 44
843 460 91
660 23 69
610 408 22
118 695 40
942 1 94
611 663 42
296 518 1
583 172 73
796 207 91
433 676 79
103 70 47
345 456 79
288 729 46
244 713 18
2 350 53
605 230 84
11 738 17
707 716 63
772 313 91
573 724 87
828 437 27
662 332 99
146 519 90
564 854 92
713 95 58
918 277 100
202 932 31
519 526 88
938 457 93
664 768 58
321 391 89
209 980 51
343 588 10
952 843 21
561 51 33
188 71 15
931 83 96
644 414 80
434 966 18
960 232 35
758 337 37
953 861 80
731 230 2
131 839 87
801 301 95
876 411 81
36 117 1
380 421 88
865 961 76
409 221 94
806 863 4
835 633 21
494 164 6
932 674 86
518 893 29
849 529 90
977 923 20
474 244 73
68 387 45
672 9 19
113 428 97
958 308 38
592 259 55
771 459 98
709 898 38
903 358 6
118 324 11
732 34 93
750 259 96
919 290 76
499 689 9
652 605 11
264 742 20
461 522 35
432 938 22
827 242 5
84 308 74
829 461 15
603 965 100
503 395 28
887 468 50
6 891 64
318 757 55
240 379 5
204 835 2
359 307 62
270 530 15
741 588 70
147 814 73
849 201 27
1000 897 11
160 916 41
835 452 34
860 229 37
485 154 88
720 537 70
251 410 92
951 275 80
221 374 66
635 868 46
376 536 50
942 164 68
355 340 83
85 356 73
202 757 12
892 628 20
120 126 13
539 579 84
339 93 42
226 231 13
925 295 89
345 122 23
428 663 22
69 452 95
954 752 62
304 389 38
77 252 86
8 727 63
181 556 76
274 462 46
792 334 52
279 928 86
585 886 56
168 236 67
956 263 26
572 451 46
5 54 45
534 5 19
521 895 71
838 322 49
265 632 49
233 754 38
639 593 98
853 746 88
777 734 99
726 241 33
604 394 83
325 51 21
435 174 94
384 299 14
732 797 24
157 890 87
706 837 63
309 818 72
184 370 26
93 908 27
92 997 61
127 470 51
111 85 51
770 172 88
8 992 97
704 265 25
565 507 91
289 727 37
679 175 46
340 516 99
590 176 59
362 554 42
551 639 91
476 535 67
712 245 22
814 965 7
700 404 74
332 925 11
424 929 73
618 613 77
312 860 62
666 949 82
566 592 48
149 18 89
544 432 24
832 932 61
743 346 49
327 663 40
447 916 28
730 235 51
125 699 10
340 123 46
704 203 82
1000 372 98
162 664 79
761 290 55
918 518 76
228 878 8
228 416 38
786 439 38
390 78 52
178 2 93
621 237 5
186 464 76
821 706 29
131 828 87
283 917 32
824 771 49
692 97 89
718 226 58
55 580 21
173 951 92
392 922 42
280 920 15
405 87 49
552 844 42
80 489 26
963 577 67
608 172 88
194 547 9
662 791 43
519 136 62
696 205 21
392 382 82
911 100 23
985 733 27
256 589 95
72 989 65
77 577 48
980 273 72
508 978 6
780 270 22
389 134 72
254 728 92
843 720 99
774 101 34
236 307 51
455 977 56
590 510 89
616 486 3
605 56 6
570 860 45
851 676 11
486 333 78
245 474 74
831 184 89
234 608 66
413 498 89
920 809 12
752 345 58
914 790 7
343 744 13
879 62 59
942 357 1
986 502 50
307 573 31
563 787 79
419 593 22
77 393 97
512 589 73
456 485 57
232 735 59
476 602 67
637 175 57
53 290 78
620 61 49
927 438 68
504 409 2
957 707 2
530 549 37
744 453 15
158 494 79
771 356 15
580 45 5
905 951 82
456 323 63
163 104 16
449 921 57
908 893 52
411 628 6
338 90 4
179 333 64
425 791 7
361 374 12
565 210 47
398 579 83
206 448 84
727 991 89
654 294 82
463 494 89
407 229 83
196 302 84
835 341 50
57 257 41
411 946 72
822 204 41
169 840 68
142 69 74
809 504 94
683 595 53
707 430 71
162 314 17
361 812 71
55 243 50
777 246 20
112 420 24
366 95 75
580 196 72
651 428 94
845 744 29
337 889 73
732 573 6
6 673 20
586 659 7
708 705 37
406 987 30
144 419 65
881 946 80
393 82 50
944 891 50
661 860 24
830 500 99
220 945 71
959 542 26
308 494 7
830 127 62
101 503 19
582 369 62
230 791 44
494 491 10
80 605 59
642 930 4
120 355 77
254 75 2
7 774 57
522 150 79
868 264 98
284 434 77
707 406 3
274 988 24
979 624 85
323 373 75
272 906 7
728 796 42
298 949 80
480 490 2
753 159 28
997 145 80
774 724 6
408 530 28
202 761 80
660 852 13
246 297 34
810 982 31
672 994 42
437 366 76
940 82 91
636 73 14
295 347 64
848 212 85
48 886 69
827 1000 33
648 509 6
144 578 13
53 180 18
882 652 34
805 493 18
894 479 70
185 672 70
315 29 34
902 309 7
242 122 33
300 222 39
502 275 61
735 992 14
933 867 23
664 229 86
368 75 16
301 998 23
34 439 11
822 769 88
136 207 39
194 376 36
408 981 52
190 470 11
7 270 49
153 6 6
81 896 10
867 704 82
950 539 82
196 287 17
955 888 58
701 428 68
311 169 41
229 319 53
749 709 53
979 144 72
437 901 55
204 836 99
363 246 53
612 88 13
636 793 3
455 558 14
535 35 87
310 40 86
370 299 43
484 610 67
631 155 77
145 23 6
535 665 27
872 590 92
163 882 74
143 903 79
136 621 19
364 732 30
597 284 6
967 69 58
371 445 22
912 420 94
282 965 99
192 735 18
38 935 84
197 590 43
784 187 21
689 736 58
286 444 44
592 85 24
927 816 20
670 491 23
857 965 26
875 663 17
314 176 83
124 259 24
639 710 16
748 804 85
353 341 6
689 755 62
152 772 90
11 242 19
709 236 95
463 53 92
313 448 53
313 210 12
39 256 94
338 930 11
616 344 13
639 611 86
243 704 38
909 72 79
323 185 27
134 726 76
907 523 86
168 730 60
566 463 12
822 556 63
64 691 4
228 194 65
90 241 90
320 878 18
791 825 35
761 480 6
556 96 90
447 347 17
954 119 37
963 480 22
454 561 25
459 700 72
908 998 75
921 699 90
10 693 93
786 824 7
691 230 52
183 248 63
825 868 6
906 272 34
521 669 2
258 111 11
462 72 31
780 632 63
203 200 55
428 69 71
56 23 98
9 752 85
400 96 34
384 398 42
57 233 69
144 289 85
882 115 69
166 780 61
212 853 39
61 888 86
156 603 18
720 982 100
325 660 10
989 682 27
19 575 34
913 410 18
843 201 23
874 338 11
787 837 23
587 286 66
24 876 66
948 297 76
58 378 16
915 244 31
957 464 75
552 179 82
933 730 44
439 785 10
748 556 79
619 486 21
243 833 29
812 861 3
937 403 94
176 106 57
859 557 11
27 504 95
927 723 5
965 193 38
612 564 33
338 975 87
542 98 17
428 374 50
149 537 9
970 188 26
333 935 86
434 77 71
594 75 90
338 132 52
672 960 62
580 158 94
707 742 86
325 96 2
884 820 55
498 122 28
275 683 10
304 689 26
967 315 69
991 7 14
819 175 16
391 554 73
84 748 77
828 325 88
231 935 97
250 532 79
561 247 68
519 33 7
516 151 68
307 987 53
974 473 28
612 867 12
294 528 35
947 243 50
919 187 100
629 418 45
486 675 37
229 230 99
695 736 97
114 958 74
86 674 71
440 881 65
616 425 48
686 454 35
142 237 65
124 458 45
849 224 94
63 123 69
241 510 79
873 716 86
38 687 45
29 915 75
794 602 42
797 86 14
738 832 79
221 938 14
685 637 79
682 456 52
211 929 48
530 811 51
415 440 65
973 175 46
902 519 3
143 57 98
490 674 68
753 108 84
137 617 63
596 457 39
945 100 82
243 481 8
473 957 18
832 745 38
768 914 13
956 531 48
777 621 32
724 961 90
908 120 93
922 372 56
435 905 72
192 749 36
423 269 28
880 355 18
855 735 72
458 167 5
715 157 27
28 498 12
310 218 69
398 226 57
486 136 83
865 34 73
541 281 54
887 497 39
278 419 42
396 641 36
