Vertex_Edges 100x1000

Sol 1: 1,88,24,41,100
Sol 2: 5,100,30,80

73 82 2
18 88 90
21 27 43
82 73 63
82 6 46
1 36 51
83 4 41
13 38 63
11 11 39
41 99 50
55 76 42
97 33 34
90 17 79
59 74 13
77 25 80
83 75 56
16 42 74
64 68 83
92 62 79
14 3 73
57 40 84
63 20 81
76 79 16
37 23 27
61 30 52
65 34 41
4 29 85
33 73 47
33 72 80
41 81 10
39 26 53
72 83 71
40 11 17
48 5 34
49 21 17
22 53 94
89 64 54
58 70 78
6 60 21
67 90 49
65 22 44
7 14 70
37 8 21
85 68 2
41 74 2
39 64 96
42 92 32
42 64 59
18 85 67
37 70 43
25 21 68
80 60 49
11 91 78
76 72 16
97 27 32
13 30 87
17 43 75
56 97 75
6 52 90
67 90 64
16 38 64
35 99 21
44 19 69
100 15 87
57 92 7
52 10 60
55 100 89
34 3 34
35 2 76
89 44 42
84 64 61
18 79 97
8 86 82
86 16 42
51 25 34
16 10 1
1 37 44
65 14 82
47 28 34
33 23 88
83 74 60
53 21 100
16 67 57
23 83 13
38 5 74
81 32 18
62 83 30
22 14 7
56 53 56
69 89 4
51 58 30
86 12 29
52 83 23
86 16 41
83 56 88
90 36 83
22 32 93
88 53 48
71 2 50
28 83 27
23 37 49
15 4 72
12 32 9
16 82 69
77 87 68
99 99 61
27 83 4
6 11 50
61 4 47
81 3 93
41 97 51
59 7 91
85 26 94
8 97 73
41 19 30
49 86 68
40 38 37
51 13 93
48 81 29
14 38 35
1 66 11
1 50 48
22 25 28
61 98 67
33 47 31
8 57 86
10 19 81
85 38 38
87 9 30
16 77 22
76 66 37
74 38 24
100 11 42
4 49 18
88 100 24
53 87 68
20 2 61
67 2 94
8 19 47
65 77 53
59 52 51
27 33 18
26 56 51
40 58 18
99 82 15
31 29 6
6 70 12
95 60 60
76 70 58
84 75 34
17 71 80
54 76 91
60 11 83
17 47 43
65 19 95
80 87 49
94 21 5
92 61 79
79 33 31
4 65 52
41 20 14
31 32 46
48 43 100
30 87 8
30 15 61
66 10 9
9 2 4
48 40 19
89 17 73
25 57 34
83 28 64
11 63 95
19 46 51
39 49 65
95 59 63
69 70 64
34 29 68
70 90 57
64 84 39
69 38 62
59 68 10
82 48 30
89 6 3
17 8 35
86 4 3
80 87 41
64 4 14
65 30 25
63 87 99
13 21 84
87 73 62
23 42 100
12 32 25
74 72 68
5 28 60
4 22 26
39 18 60
45 89 78
63 33 52
27 100 61
80 70 20
73 34 79
14 96 96
42 30 98
44 31 100
59 50 16
82 59 94
59 86 27
91 28 63
69 92 9
45 37 85
69 86 46
34 68 89
58 31 73
16 30 6
39 87 63
19 76 78
21 16 63
51 74 9
27 91 59
59 84 62
34 16 8
21 59 17
1 98 48
88 43 98
90 63 93
22 97 21
47 2 38
24 31 47
87 18 90
34 42 69
61 43 66
42 75 4
72 83 58
70 37 55
56 86 28
54 68 40
98 70 73
44 62 11
83 22 38
91 71 27
47 55 63
81 64 34
1 65 77
37 10 3
69 97 53
13 19 23
51 66 11
19 73 47
3 59 63
98 5 41
73 2 42
67 3 10
70 99 32
99 39 88
95 24 57
