Vertex_Edges 100x500

Sol 1: 1,45,51,28,100
Sol 2: 5,27,40,68,93,31,80


41 13 62
8 20 28
75 81 97
74 7 22
18 41 45
72 82 11
75 73 65
78 85 5
52 58 88
60 8 9
3 60 88
59 67 69
63 5 91
28 33 74
22 23 12
27 36 86
15 14 46
11 30 19
55 4 76
15 45 30
4 9 16
64 99 80
58 67 80
10 38 64
77 74 12
86 78 49
51 87 18
71 35 1
6 3 49
1 55 29
6 11 88
23 84 29
36 90 6
98 91 78
10 99 45
40 67 35
35 62 82
65 33 23
37 50 73
90 8 45
10 97 19
82 58 43
4 6 48
30 9 45
92 75 90
55 36 36
51 28 42
2 26 73
12 81 100
21 54 87
71 40 63
25 84 68
26 99 38
30 5 75
9 11 29
43 78 52
37 45 98
68 65 6
62 46 74
50 8 52
51 38 14
100 80 95
12 94 99
81 79 68
69 32 80
5 85 5
84 89 99
15 75 9
97 37 6
65 20 80
52 26 3
2 21 1
65 51 4
51 96 47
69 96 48
92 72 82
48 100 21
36 47 13
42 15 82
85 46 64
58 52 33
61 83 62
32 98 12
60 92 24
42 20 70
78 87 84
85 25 87
66 11 20
89 65 56
89 55 60
95 63 67
7 87 5
45 26 29
3 10 9
27 40 13
41 88 95
99 16 62
28 23 19
19 40 59
4 31 27
20 40 42
19 11 66
57 92 36
19 4 44
89 43 17
32 76 7
9 78 34
27 80 91
28 37 4
10 72 13
11 99 4
21 22 56
66 98 68
52 85 63
51 10 11
6 22 51
27 46 26
62 53 33
83 13 12
63 44 13
65 50 25
83 41 26
38 97 44
25 43 57
63 92 45
46 19 11
8 94 64
94 94 32
41 38 27
4 59 68
91 81 12
75 14 19
93 31 7
6 100 61
68 53 56
33 91 90
51 65 16
22 9 47
1 29 33
17 65 89
54 47 95
3 63 15
50 65 12
73 7 79
43 75 82
81 79 62
16 81 34
51 72 40
36 76 19
35 60 87
40 68 10
47 52 86
20 51 63
47 50 47
39 2 65
84 96 10
24 21 68
61 41 100
67 48 54
93 42 61
23 80 95
40 37 90
14 24 47
65 59 60
60 100 78
7 98 6
6 43 74
4 59 12
88 43 75
100 29 88
10 78 58
56 85 10
10 99 52
7 81 54
4 4 84
91 61 69
62 10 49
20 77 66
69 25 58
97 78 19
83 56 36
4 98 62
18 73 78
44 11 52
5 27 28
3 49 23
15 14 82
32 77 31
76 18 11
36 96 64
82 36 84
86 85 28
3 17 39
26 41 55
48 1 52
76 18 21
78 73 50
51 70 84
80 11 90
16 21 71
95 31 25
3 57 62
28 1 92
95 69 60
55 91 8
22 72 89
7 86 48
73 41 73
51 63 57
73 58 16
49 45 4
90 93 10
28 59 56
17 87 47
1 92 63
75 67 35
65 48 63
71 6 75
39 75 73
81 50 41
86 30 61
19 17 67
98 41 52
18 27 52
72 18 46
19 34 97
8 2 34
94 64 54
14 89 41
31 86 13
46 23 14
19 40 18
65 61 1
7 4 86
47 22 30
95 50 15
36 78 70
40 86 41
72 23 54
96 85 60
73 57 5
28 63 67
25 61 55
36 83 75
72 28 67
91 32 85
59 35 75
6 29 52
2 80 40
14 46 48
54 14 82
55 22 37
12 66 61
29 44 86
67 62 91
73 79 72
64 46 49
47 93 86
41 89 45
41 93 63
44 64 76
75 14 12
14 53 97
65 63 64
83 56 92
43 54 81
13 5 71
64 53 1
78 24 67
55 18 75
4 83 32
80 21 4
52 13 2
76 76 87
3 8 11
31 80 24
86 49 34
42 25 77
3 34 24
84 23 89
35 61 47
70 27 88
3 10 22
71 52 19
70 99 56
20 38 70
70 55 65
55 73 60
18 12 32
39 93 41
82 91 44
4 36 65
17 22 18
86 49 38
57 4 91
95 31 26
32 59 77
32 28 69
42 40 11
75 23 69
83 58 81
17 18 79
65 14 60
54 29 51
54 41 52
73 83 1
57 33 46
92 26 46
98 60 21
30 9 38
54 97 74
67 15 24
70 7 31
6 18 75
32 6 88
94 77 70
50 77 32
6 37 90
14 10 92
15 4 55
22 25 55
47 60 56
47 8 23
39 16 63
51 71 32
20 23 17
99 46 33
87 39 48
34 98 55
61 36 68
62 72 79
1 45 9
37 19 38
97 21 79
92 96 100
37 5 2
72 95 80
56 44 99
41 30 44
71 52 24
17 77 2
71 23 2
46 71 68
41 45 74
81 74 76
14 17 62
39 2 28
56 36 49
67 62 95
50 25 30
55 97 51
77 31 84
21 58 78
7 99 69
48 26 36
1 98 14
7 63 1
17 52 61
91 52 95
58 33 70
19 11 78
28 100 10
24 68 19
5 18 17
19 46 54
43 5 25
1 97 8
8 35 66
51 14 19
70 75 46
76 60 48
48 87 49
62 44 20
99 80 82
83 52 66
43 73 15
50 6 69
60 34 11
84 80 76
45 47 97
5 16 4
67 67 7
63 93 33
3 30 68
29 53 51
20 66 40
17 82 11
25 26 72
76 5 38
8 5 90
43 55 60
65 51 27
53 81 67
42 52 17
74 47 86
25 3 65
30 7 95
24 2 80
38 76 69
13 90 72
74 64 65
20 22 90
95 17 82
75 41 43
22 93 29
66 62 66
14 1 33
77 46 22
20 86 49
45 51 12
44 57 26
83 44 56
8 4 17
67 29 98
75 12 98
11 36 57
60 35 55
30 48 27
6 100 96
21 74 64
31 85 67
14 62 41
73 100 12
42 18 38
1 88 39
51 48 39
16 12 1
56 45 32
26 51 2
89 69 69
39 75 79
28 37 12
90 49 8
6 62 33
56 26 11
63 52 54
90 53 89
90 41 27
76 4 3
70 66 26
72 31 60
26 36 65
48 54 41
97 25 35
1 34 94
34 37 86
5 65 30
6 96 98
54 18 99
70 21 32
22 9 51
33 50 31
72 30 27
4 47 51
23 74 73
61 37 5
20 66 65
40 3 48
16 5 90
5 49 15
25 25 68
78 48 90
22 78 44
47 47 41
45 19 56
59 49 14
81 2 18
32 35 85
69 83 56
11 90 82
81 92 74
25 77 38
70 16 54
28 17 66
37 52 75
78 42 64
31 77 61
16 23 38
92 24 97
68 93 4
48 72 15
75 50 44
5 29 70
25 34 29
48 65 15
81 6 91
59 38 81
44 91 20
61 78 52
89 7 56
79 95 71
14 34 57
83 13 3
59 10 67
100 19 93
79 82 84
75 36 18
74 89 45
